StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,consent,check_outcome_1_1,check_outcome_2_1,check_opport_2-1_1,check_opport_2-2_1,fairineq_low_1,fairineq_low_2,fairineq_high_1,fairineq_high_2,unfair_fair_1_1,unfair_fair_2_1,important_factors_1_1,important_factors_1_2,important_factors_1_3,important_factors_1_4,important_factors_2_1,important_factors_2_2,important_factors_2_3,important_factors_2_4,check1,art_inf1,art_inf2,art_pers1,art_pers2,income_UK,educ_UK,age,gender,race,pol,citizen,feedback,SC0,RandomCompletionCode,PROLIFIC_PID,STUDY_ID,SESSION_ID,FL_29_DO,FL_11_DO,FL_13_DO,conditions_DO,manipulationcheck1_DO,manipulationcheck2-2_DO,fairness_DO,opportunity_DO,article_informative_DO,article_persuasive_DO
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"Welcome!

We are Dr. Mario D. Molina, a faculty member in the Division of Social Science at New York University Abu Dhabi, and Dr. Mauricio Bucca, a faculty member in the Department of Sociology at Universidad Catolica de Chile. We are conducting a research study to find out more about the processes involved in people’s attitudes towards a variety of social and political topics and issues.



Your participation in this study is completely voluntary. If you agree to participate, you may be asked to read an article on a current issue/topic and you will be asked to answer a series of questions regarding your opinions, preferences, and beliefs, as well as provide us with some basic demographic information. The whole process should take about 7 minutes of your time.



Your participation in this study does not involve any risk to you beyond that of everyday life. You are not likely to have any direct benefit from being in this research study; however, taking part in this study may help researchers better understand people’s attitudes about various social and political issues and how those attitudes are formed.



Participation in this study will involve no cost to you. You will receive 1.35 pounds for your participation at the end of this session. While you can skip questions in the survey that make you feel uncomfortable and you can withdraw at any time by just exiting the survey, keep in mind that you must complete all of the questions in the survey in order to be paid. Otherwise, you will forfeit your payment.



This study is designed to be completely anonymous. We will not ask for your name or any other directly identifying information. All study data will be collected through an online survey platform called Qualtrics. Qualtrics is a secure platform that adheres to rigorous privacy and security standards, holding certifications such as SOC 2 Type II and the ISO 27001 series. Any data you provide will be encrypted during transmission using current security protocols like Transport Layer Security (TLS) (the technology behind HTTPS). Access to the collected data on Qualtrics is restricted to the study investigators. Furthermore, to enhance your privacy, this survey has been configured so that Qualtrics will anonymize responses, meaning IP addresses will not be collected or will be masked, making them unavailable to the investigators.



If you have any questions about this study, you may contact Dr. Molina (mdmolina@nyu.edu) or Dr. Bucca (mebucca@uc.cl) by email. For questions about your rights as a research participant, you may contact the IRB office and refer to the project HRPP-2023-109 at New York University Abu Dhabi, +971 2 628 4313 or IRBnyuad@nyu.edu.




If you wish to participate, please select the ACCEPT button below to begin the survey. If you do not wish to participate in this study, please select the DECLINE button, and your session will end. 

Sincerely, 
Dr. Mario D. Molina and Dr. Mauricio Bucca",Click to write the question text - How large are income differences in the UK?,Click to write the question text - How large are income differences in the UK?,Click to write the question text - How likely is it for a person from a lower-income background to make into the higher-income groups in the UK?,Click to write the question text - How likely is it for a person from a lower-income background to make into the higher-income groups in the UK?,"Currently in the UK, higher-income groups earn about four times as much as lower-income groups, with the former making about £65 thousand a year while the latter make about £15 thousand a year.
 

In your opinion, what would be a fair distribution of income between higher- and lower-income groups? Constraint: The two boxes must always sum to £80 thousand. - Higher-income group (thousand £)","Currently in the UK, higher-income groups earn about four times as much as lower-income groups, with the former making about £65 thousand a year while the latter make about £15 thousand a year.
 

In your opinion, what would be a fair distribution of income between higher- and lower-income groups? Constraint: The two boxes must always sum to £80 thousand. - Lower-income group (thousand £)","Currently in the UK, higher-income groups earn about 13 times as much as lower-income groups, with the former making about £200 thousand a year while the latter make about £15 thousand a year.
 

In your opinion, what would be a fair distribution of income between higher- and lower-income groups? Constraint: The two boxes must always sum to £215 thousand. - Higher-income group (thousand £)","Currently in the UK, higher-income groups earn about 13 times as much as lower-income groups, with the former making about £200 thousand a year while the latter make about £15 thousand a year.
 

In your opinion, what would be a fair distribution of income between higher- and lower-income groups? Constraint: The two boxes must always sum to £215 thousand. - Lower-income group (thousand £)","Thinking about the U.K. overall, - How fair or unfair are the social and economic differences in the U.K.?","Thinking about the U.K. overall, - How fair or unfair are the social and economic differences in the U.K.?","We have some questions about opportunities for getting ahead. In your opinion, please indicate how important each of the following is in terms of getting ahead on the scale provided. - How important is coming from a wealthy family?","We have some questions about opportunities for getting ahead. In your opinion, please indicate how important each of the following is in terms of getting ahead on the scale provided. - How important is having well-educated parents?","We have some questions about opportunities for getting ahead. In your opinion, please indicate how important each of the following is in terms of getting ahead on the scale provided. - How important is having ambition?","We have some questions about opportunities for getting ahead. In your opinion, please indicate how important each of the following is in terms of getting ahead on the scale provided. - How important is hard work?","We have some questions about opportunities for getting ahead. In your opinion, please indicate how important each of the following is in terms of getting ahead on the scale provided. - How important is coming from a wealthy family?","We have some questions about opportunities for getting ahead. In your opinion, please indicate how important each of the following is in terms of getting ahead on the scale provided. - How important is having well-educated parents?","We have some questions about opportunities for getting ahead. In your opinion, please indicate how important each of the following is in terms of getting ahead on the scale provided. - How important is having ambition?","We have some questions about opportunities for getting ahead. In your opinion, please indicate how important each of the following is in terms of getting ahead on the scale provided. - How important is hard work?",If you are paying attention to the instructions in this survey please select a value of six for this item.,How informative did you find the article you read?,How informative did you find the article you read?,How persuasive did you find the article you read?,How persuasive did you find the article you read?,Your annual household income before all deductions is:,Which best describes your highest education attained?,What is your age?,What is your gender?,Which racial or ethnic group do you most identify with?,Please select the category that best describes your political orientation:,Are you a UK citizen?,Do you have any feedback for us? Please enter any comments or thoughts below.,Score,RandomCompletionCode,PROLIFIC_PID,STUDY_ID,SESSION_ID,FL_29 - Block Randomizer - Display Order,FL_11 - Block Randomizer - Display Order,FL_13 - Block Randomizer - Display Order,conditions - Display Order,manipulation check 1 - Display Order,manipulation check 2-2 - Display Order,fairness - Display Order,opportunity - Display Order,article_informative - Display Order,article_persuasive - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1""}","{""ImportId"":""QID110_1""}","{""ImportId"":""QID134_1""}","{""ImportId"":""QID136_1""}","{""ImportId"":""QID138_1""}","{""ImportId"":""QID102_1""}","{""ImportId"":""QID102_2""}","{""ImportId"":""QID104_1""}","{""ImportId"":""QID104_2""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID133_1""}","{""ImportId"":""QID1720486131_1""}","{""ImportId"":""QID1720486131_2""}","{""ImportId"":""QID1720486131_3""}","{""ImportId"":""QID1720486131_4""}","{""ImportId"":""QID1720486132_1""}","{""ImportId"":""QID1720486132_2""}","{""ImportId"":""QID1720486132_3""}","{""ImportId"":""QID1720486132_4""}","{""ImportId"":""QID51""}","{""ImportId"":""QID65""}","{""ImportId"":""QID67""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID126""}","{""ImportId"":""QID127""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID71""}","{""ImportId"":""QID73""}","{""ImportId"":""QID139""}","{""ImportId"":""QID74""}","{""ImportId"":""QID91_TEXT""}","{""ImportId"":""SC_elAIkNRiY9nDCZg""}","{""ImportId"":""RandomCompletionCode""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""FL_29_DO""}","{""ImportId"":""FL_11_DO""}","{""ImportId"":""FL_13_DO""}","{""ImportId"":""BL_bmE9Pc6cgAANikK_DO""}","{""ImportId"":""BL_brW2b5MR5NJhMNg_DO""}","{""ImportId"":""BL_4TqxyTOaRBZMXMq_DO""}","{""ImportId"":""BL_3yeaMgci5lYgJoy_DO""}","{""ImportId"":""BL_cMj3HTWmmuJhFZA_DO""}","{""ImportId"":""BL_8H7KvQBbqnKA4n4_DO""}","{""ImportId"":""BL_elnCHarKwlqaKJU_DO""}"
2025-11-06 08:00:19,2025-11-06 08:06:43,Survey Preview,100,384,True,2025-11-06 08:06:44,R_1GjM5y61OCrxvxL,preview,EN,1,Accept,,,,,,,200000,15000,(3),,,,,,,,,,5,,Extremely informative,Not persuasive at all,,,,23,Male,8,,Yes,fuck you mario!,,8775868,,,,,,,T_unfair_high,,,unfair_fair_1,,art_inf2,art_pers1
2025-11-06 11:06:28,2025-11-06 11:08:06,Survey Preview,100,97,True,2025-11-06 11:08:06,R_1lWcNEU5nS0oNhC,preview,EN,1,Accept,,,,,,,214,1,,,,,,,,,,,5,Not at all informative,,,Extremely persuasive,,,32,Male,Hispanic or Latino/a/x,,Yes,wef,,3842421,,,,,,,T_unfair_high,QID118|check_outcome_1,,unfair_fair_1,,art_inf1,art_pers2
2025-11-10 06:06:02,2025-11-10 06:08:57,Survey Preview,100,174,True,2025-11-10 06:08:57,R_4ZWRGCcVzYxWNJL,preview,EN,1,Accept,(9),,,,,,180,35,(4),,,,,,,,,,5,,Somewhat informative,,Somewhat persuasive,,,45,Male,White,,Yes,"great study!
",,7845783,,,,,,,T_unfair_high,,,unfair_fair_1,,art_inf2,art_pers2
2025-11-13 06:15:08,2025-11-13 06:18:04,IP Address,100,175,True,2025-11-13 06:18:04,R_2iIRDJUPMTbAYvm,anonymous,EN,1,Accept,"Large
(10)",,,,,,165,50,"Unfair
(1)",,,,,,,,,,5,,Somewhat informative,,Somewhat persuasive,"£20,001–£25,000",Secondary School (Completed),62,Male,White,,Yes,,,2880614,,,,,,,T_fair_high,,,unfair_fair_1,,art_inf2,art_pers2
2025-11-13 06:11:33,2025-11-13 06:20:50,IP Address,100,557,True,2025-11-13 06:20:51,R_2Eb3Pk8H5WSOiw5,anonymous,EN,1,Accept,(9),,,,,,135,80,(2),,,,,,,,,,5,,Informative,,Neither persuasive nor not persuasive,"£35,001–£60,000","Graduate or professional degree (e.g., MA, MSc, MBA, JD, MD, PhD)",28,Female,Black or African,,Yes,The study was quite alright. I didn't find any problems at all.,,6037636,,,,,,,T_unfair_high,,,unfair_fair_1,,art_inf2,art_pers2
2025-11-13 06:15:19,2025-11-13 06:21:19,IP Address,100,359,True,2025-11-13 06:21:19,R_2aQvTjsHA5zEK8D,anonymous,EN,1,Accept,(9),,,,,,115,100,(3),,,,,,,,,,5,Informative,,,Somewhat persuasive,"£130,001 or more","Graduate or professional degree (e.g., MA, MSc, MBA, JD, MD, PhD)",32,Female,Black or African,,Yes,,,3242174,,,,,,,T_fair_high,,,unfair_fair_1,,art_inf1,art_pers2
2025-11-13 06:21:00,2025-11-13 06:23:56,IP Address,100,175,True,2025-11-13 06:23:56,R_2YY9mYXmndktCMF,anonymous,EN,1,Accept,(4),,,,50,30,,,(2),,,,,,,,,,5,,Extremely informative,Extremely persuasive,,"£25,001–£35,000","Graduate or professional degree (e.g., MA, MSc, MBA, JD, MD, PhD)",46,Male,Black or African,,No,No,,7882512,,,,,,,T_fair_low,,,unfair_fair_1,,art_inf2,art_pers1
2025-11-13 06:16:38,2025-11-13 06:24:00,IP Address,100,442,True,2025-11-13 06:24:01,R_2QVwbIQzHE4BbZj,anonymous,EN,1,Accept,(4),,,,40,40,,,(2),,,,,,,,,,5,Informative,,,Somewhat unpersuasive,"£130,001 or more","Graduate or professional degree (e.g., MA, MSc, MBA, JD, MD, PhD)",43,Male,,,Yes,No,,3445351,,,,,,,T_fair_low,,,unfair_fair_1,,art_inf1,art_pers2
