name;ConnectId;playerId;groupId;exchange;inequality;base;income_inequality;attention_check;government_opinion;feelings;winner_training_round_1;power_player_round_1_training;power_robot_round_1_training;average_difference_round_1;winner_training_round_2;power_player_round_2_training;power_robot_round_2_training;average_difference_round_2;winner_training_round_3;power_player_round_3_training;power_robot_round_3_training;average_difference_round_3;average_difference_training;training_winner;waiting_delay;winner_game_round_1;power_player_round_1_game;average_difference_round_1;winner_game_round_2;power_player_round_2_game;average_difference_round_2;winner_game_round_3;power_player_round_3_game;average_difference_round_3;winner_game_round_4;power_player_round_4_game;average_difference_round_4;winner_game_round_5;power_player_round_5_game;average_difference_round_5;average_difference_game;game_winner;bot_opponent;most_first;fair_unfair_bar_value;most_important;least_important;distribution_loser_amount;distribution_winner_amount;ug_first;ultimatum_game_receiver_1.0_0.0;ultimatum_game_receiver_0.9_0.1;ultimatum_game_receiver_0.8_0.2;ultimatum_game_receiver_0.7_0.3;ultimatum_game_receiver_0.6_0.4;ultimatum_game_receiver_0.5_0.5;ultimatum_game_receiver_0.4_0.6;ultimatum_game_receiver_0.3_0.7;ultimatum_game_receiver_0.2_0.8;ultimatum_game_receiver_0.1_0.9;ultimatum_game_receiver_0.0_1.0;min_payment_UG;max_payment_UG;consistency;ultimatum_game_proposer_proposer;ultimatum_game_proposer_receiver;final_payment_UG;age;political_ideology;zip_code;education;gender;race;religion;political_party;income;ga_ii_or_go;get_ahead_1;get_ahead_2;get_ahead_3;get_ahead_4;dictator_game_proposer;dictator_game_receiver;average_delay;standard_deviation_delay;span_minutes;date
unknown;29864CED404646EFA769BA530C274D99;1;355424196605516806;RA;5.0;5.0;strongly_agree;5;neither;happy;True;52;52;0.0;True;45;45;0.0;False;54;64;0.0;0.0;True;190.43371748924255;False;34;0.0;False;53;0.0;False;56;0.0;True;55;0.38461538461538464;True;44;0.29411764705882354;0.25;False;True;True;6;talent;rules;1875;1875;True;yes;yes;yes;yes;yes;yes;yes;no;no;no;no;0.4;1.0;True;;;;43;9;06489; Graduate/Professional  Degree ;Other;white;none;strong_democrat;$175,000+;getAhead-incomeInequality-governmentOpinion;2;3;3;5;;;3.0538816681275;1.8134253831792575;16.31; 2024-03-21  13:03:34.089940
unknown;1BDF312BF66649A69C1FAA3A4FD39E85;2;941762162390792841;RA;5.0;5.0;agree;5;disagree;indifferent;True;52;52;0.0;False;42;48;3.0;False;52;66;1.4444444444444444;1.5416666666666667;False;186.1330647468567;True;54;0.0;True;60;0.0;False;45;1.8461538461538463;False;58;0.0;False;41;0.0;0.7272727272727273;False;True;False;6;luck;talent;1250;2500;False;no;no;no;no;no;yes;yes;yes;yes;yes;yes;0.0;0.5;True;;;;49;7;15943; College  Degree ;Male;white;none;independent_close_democrat;$25,000-$39,999;governmentOpinion-getAhead-incomeInequality;4;3;4;3;;;4.494288227293226;1.7594255875371727;24.57; 2024-03-21  13:03:45.757960
unknown;3C2A403889344861829229EA4925889A;2;192220886478650300;RA;5.0;2.5;strongly_agree;5;strongly_agree;sad;False;52;52;2.7;False;42;48;0.125;False;45;73;0.7142857142857143;1.32;False;185.88795924186707;False;37;0.9411764705882353;True;56;0.4444444444444444;True;55;1.7777777777777777;False;52;0.3076923076923077;False;47;0.8461538461538461;1.868421052631579;False;True;True;2;luck;talent;675;1825;False;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;0.1;1.0;True;;;;41;1;30549; Some  College ;Male;white;protestant_lutheran;strong_republican;$70,000-$84,999;getAhead-incomeInequality-governmentOpinion;2;4;4;5;;;3.364210424423218;1.788619865187464;19.43; 2024-03-21  13:05:37.020093
unknown;57D1CB94B7BA46079BA0E4523138BC03;2;634623399405878351;RA;5.0;2.5;agree;5;agree;happy;True;52;52;0.0;False;39;51;0.0;False;44;74;0.0;0.0;False;182.43720865249634;True;50;0.0;True;70;0.0;True;57;0.0;True;59;0.0;False;55;0.0;0.0;True;True;False;5;luck;rules;850;1650;False;;;;;;;;;;;;;;;50;50;;34;7;02132; College  Degree ;Female;white;none;not_very_strong_democrat;$0-$9,999;getAhead-incomeInequality-governmentOpinion;4;4;4;5;50;50;3.905864804983139;1.2865253833565053;23.09; 2024-03-21  13:09:18.509846
unknown;46094D3D8BA147788D1A5B731C4856F6;2;795008592403871436;RA;5.0;2.5;agree;5;disagree;happy;True;52;52;2.5;False;39;51;0.42857142857142855;False;52;66;2.888888888888889;2.0416666666666665;False;190.9218304157257;True;69;0.0;False;47;0.06666666666666667;True;68;0.0;True;46;0.0;True;44;0.75;0.3333333333333333;True;True;True;6;talent;luck;800;1700;True;;;;;;;;;;;;;;;50;50;;39;1;65742; High  School ;Male;white;other;strong_republican;$100,000-$114,999;incomeInequality-getAhead-governmentOpinion;3;3;5;5;50;50;3.896992141125249;1.8852780543114143;21.69; 2024-03-21  13:10:32.320636
unknown;2E97E429969A4B999498C47B55406AB7;1;167181003735803656;RA;5.0;2.5;strongly_agree;5;agree;indifferent;False;52;52;4.1;False;40;50;0.7777777777777778;False;45;73;0.0;1.8461538461538463;False;191.04924392700195;True;54;0.058823529411764705;True;48;0.06666666666666667;True;47;0.0;True;48;0.8666666666666667;True;48;0.8666666666666667;0.6829268292682927;True;True;True;4;talent;rules;625;1875;True;;;;;;;;;;;;;;;50;50;;32;8;75069; Some  College ;Male;white;none;strong_democrat;$115,000-$129,999;governmentOpinion-incomeInequality-getAhead;4;4;4;4;50;50;4.334606598008354;2.340617365167793;24.99; 2024-03-21  13:13:52.916512
unknown;BEF8B5C72A01450682EC58366C91F8C4;1;5;RA;5.0;2.5;strongly_agree;5;strongly_agree;indifferent;True;52;52;1.1428571428571428;False;42;48;0.2222222222222222;False;46;72;0.0;0.43478260869565216;False;25.527178049087524;False;48;0.7142857142857143;False;39;0.5;False;54;1.7777777777777777;False;29;0.0;True;65;0.3333333333333333;0.7692307692307693;False;True;False;3;luck;rules;1250;1250;False;yes;yes;yes;yes;yes;yes;no;no;no;no;no;0.5;1.0;True;;;;57;9;62062; Graduate/Professional  Degree ;Female;white;none;strong_democrat;$10,000-$24,999;incomeInequality-getAhead-governmentOpinion;5;1;2;2;;;9.743254931467884;7.623942650688221;30.33; 2024-03-21  13:21:39.472731
unknown;34AFFA67274541BBAA9C6E7ABE6DCA98;1;3;RA;5.0;2.5;agree;5;agree;happy;True;52;52;1.8571428571428572;True;45;45;0.0;False;49;69;0.0;0.5909090909090909;True;10.673631191253662;True;54;0.0;True;61;0.0;False;49;1.5714285714285714;False;47;0.0;True;57;0.0;0.2894736842105263;True;False;True;7;talent;luck;900;1600;False;;;;;;;;;;;;;;;0;100;0.0;23;8;32218; Some  College ;Female;black;protestant_lutheran;not_very_strong_democrat;$70,000-$84,999;governmentOpinion-incomeInequality-getAhead;3;3;4;4;100;0;5.370622291564941;2.4018736486550574;26.49; 2024-03-21  13:21:49.985856
unknown;FC5812DA5DAE492EAFC02135253774BB;2;5;RA;5.0;2.5;strongly_agree;5;agree;happy;False;52;52;4.4;False;38;52;1.125;False;50;68;0.0;2.0384615384615383;False;6.390118598937988;True;53;0.0;True;62;0.0;True;59;1.2222222222222223;True;44;0.0;False;38;0.0;0.2972972972972973;True;True;False;5;luck;rules;1175;1325;False;;;;;;;;;;;;;;;100;0;;59;3;89122; College  Degree ;Male;white;jewish;not_very_strong_republican;$25,000-$39,999;incomeInequality-governmentOpinion-getAhead;4;4;5;5;0;100;5.603005063777068;2.4070840557117683;25.47; 2024-03-21  13:24:10.524652
unknown;A2F59B56CEDB418DBA0C5FF748D5E48F;1;686826080489100581;RA;5.0;2.5;;;;;True;52;52;1.2857142857142858;False;38;52;0.0;False;44;74;0.0;0.391304347826087;False;186.63329577445984;;;;;;;;;;;;;;;;;;True;False;;;;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;governmentOpinion-getAhead-incomeInequality;;;;;;;;;; 2024-03-21  13:24:32.437905
